Loop_ID   ,   X   ,   Y   ,   Z
1, x = -6.08694, y = -11.2901, z = 0.540134
2, x = -7.87145, y = -9.21686, z = 1.77545
3, x = -4.83981, y = -4.54008, z = 1.49261
4, x = -5.01871, y = -12.7535, z = 1.18899
5, x = -8.437, y = -9.29469, z = 2.5916
6, x = -4.09609, y = -11.4196, z = 0.436511
7, x = -1.8273, y = -10.8214, z = 2.84289
8, x = -0.126246, y = -8.58931, z = 1.2381
9, x = -4.02823, y = -12.4802, z = 2.50687
10, x = -2.22482, y = -10.8216, z = 0.352573
11, x = -4.14447, y = -10.6296, z = 0.400694
12, x = -4.5341, y = -8.44983, z = -0.0474239
13, x = -5.98892, y = -5.01999, z = 0.478663
14, x = -4.04208, y = -5.5531, z = 0.557267
15, x = -3.7337, y = -12.7716, z = 1.54204
16, x = -4.35533, y = -8.54379, z = 3.06037
17, x = -2.51372, y = -7.67699, z = 0.451024
