face_index,centroid_x,centroid_y,centroid_z,normal_x,normal_y,normal_z
0,2.247780,0.253533,3.344063,0.724629,-0.084073,-0.683992
1,0.938597,2.649980,4.686903,0.847865,-0.355749,-0.393152
2,0.933954,2.650643,4.687763,-0.852443,-0.198910,-0.483503
3,-2.250587,1.348673,4.516723,-0.235438,-0.862217,-0.448499
4,-2.757160,2.616400,4.468380,0.378442,-0.492416,-0.783778
5,-2.060000,2.437430,4.507720,-0.087393,0.733949,-0.673559
6,-2.062133,2.434867,4.511293,-0.673522,-0.735627,0.072251
7,-2.057310,2.435303,4.511143,0.786665,-0.616780,0.027203
8,1.728360,0.073103,2.885580,-0.359435,0.618782,-0.698509
9,-1.036160,-0.083478,1.471837,-0.676191,-0.032443,-0.736011
10,-2.632587,2.546550,4.474873,0.986271,-0.160952,0.036925
11,-2.636697,2.548980,4.471393,-0.090679,0.475788,-0.874873
12,-2.637460,2.545027,4.474550,-0.549995,-0.832367,0.068342
13,-1.377913,0.389558,4.595060,0.787303,0.007135,-0.616524
14,-0.852627,0.447278,4.634017,-0.289987,0.023620,-0.956739
15,-0.850097,0.445814,4.637810,0.871659,-0.468047,0.145402
16,1.444687,0.823098,2.824227,0.107808,0.038930,-0.993409
17,2.133673,0.864203,3.065980,-0.165028,-0.985986,-0.024432
18,1.146703,-0.040885,2.154013,-0.059550,-0.069693,-0.995789
19,1.753070,1.655350,4.779430,-0.312095,0.774541,-0.550166
20,0.757506,-0.064828,1.451900,0.303962,-0.029053,-0.952241
21,1.552530,0.831549,2.849397,0.424057,-0.690809,-0.585626
22,1.548527,0.833742,2.851543,-0.926287,0.287164,-0.243986
23,-0.857969,0.247025,4.636250,-0.381704,-0.011940,-0.924207
24,1.443473,0.051695,2.853180,-0.886732,-0.448117,-0.113568
25,1.445997,0.056462,2.852720,-0.009210,0.924916,-0.380060
26,1.448730,0.051246,2.851960,0.697602,-0.424920,-0.576884
27,1.963047,0.861337,3.044517,-0.712293,-0.147363,-0.686238
28,2.220043,0.752107,3.446573,0.181491,-0.590452,-0.786402
