vertex_index,x,y,z,nx,ny,nz
0,2.244210,0.246384,3.341160,0.135006,-0.038786,-0.990085
1,2.245530,0.260934,3.340770,0.135006,-0.038786,-0.990085
2,2.253600,0.253282,3.350260,0.724629,-0.084073,-0.683992
3,0.935705,2.641300,4.688520,-0.004414,-0.534664,-0.845053
4,0.937494,2.655510,4.679520,-0.004414,-0.534664,-0.845053
5,0.942593,2.653130,4.692670,0.847865,-0.355749,-0.393152
6,0.928663,2.655120,4.695250,-0.852443,-0.198910,-0.483503
7,-2.248310,1.352350,4.508460,0.587026,-0.601204,-0.542175
8,-2.244550,1.344920,4.520770,0.587026,-0.601204,-0.542175
9,-2.258900,1.348750,4.520940,-0.235438,-0.862217,-0.448499
10,-2.760640,2.622830,4.462660,0.378442,-0.492416,-0.783778
11,-2.749550,2.617760,4.471200,0.378442,-0.492416,-0.783778
12,-2.761290,2.608610,4.471280,0.378442,-0.492416,-0.783778
13,-2.052880,2.440930,4.510610,0.728849,0.122124,-0.673695
14,-2.059770,2.431740,4.501490,0.009619,-0.455583,-0.890141
15,-2.067350,2.439620,4.511060,-0.784588,-0.001731,-0.620015
16,-2.059280,2.433240,4.521330,0.083146,-0.993854,0.073087
17,1.730920,0.062669,2.875020,-0.296040,-0.051477,-0.953788
18,1.718180,0.065496,2.884080,-0.584715,-0.038033,-0.810347
19,1.735980,0.091143,2.897640,-0.733790,0.554137,-0.393044
20,-1.033550,-0.093487,1.469880,0.077747,-0.030973,-0.996492
21,-1.041120,-0.083398,1.476390,-0.676191,-0.032443,-0.736011
22,-1.033810,-0.073549,1.469240,0.077747,-0.030973,-0.996492
23,-2.633110,2.541530,4.466970,0.257155,-0.622966,-0.738772
24,-2.631180,2.554990,4.474090,0.707285,0.248639,-0.661761
25,-2.633470,2.543130,4.483560,0.400253,-0.911302,0.096575
26,-2.645800,2.550420,4.473120,-0.587773,-0.327136,-0.739936
27,-1.377250,0.407956,4.596120,0.465707,0.050092,-0.883520
28,-1.373580,0.381464,4.600500,0.784369,-0.253947,-0.565929
29,-1.382910,0.379255,4.588560,0.499462,-0.157345,-0.851928
30,-0.858831,0.451045,4.635990,-0.289987,0.023620,-0.956739
31,-0.845203,0.453096,4.631910,0.532297,-0.406701,-0.742465
32,-0.853848,0.437692,4.634150,0.532297,-0.406701,-0.742465
33,-0.851241,0.446654,4.647370,0.871659,-0.468047,0.145402
34,1.440290,0.828724,2.823970,0.107808,0.038930,-0.993409
35,1.454670,0.826413,2.825440,0.107808,0.038930,-0.993409
36,1.439100,0.814157,2.823270,0.107808,0.038930,-0.993409
37,2.123860,0.865826,3.066780,-0.512570,-0.534388,-0.672087
38,2.138590,0.863595,3.057320,-0.512570,-0.534388,-0.672087
39,2.138570,0.863189,3.073840,-0.165028,-0.985986,-0.024432
40,1.150690,-0.050102,2.154420,-0.059550,-0.069693,-0.995789
41,1.137840,-0.040408,2.154510,-0.059550,-0.069693,-0.995789
42,1.151580,-0.032144,2.153110,-0.059550,-0.069693,-0.995789
43,1.758660,1.661360,4.784720,-0.306263,0.857220,-0.413977
44,1.756640,1.652690,4.773660,-0.439395,-0.026622,-0.897899
45,1.743910,1.652000,4.779910,-0.891984,-0.145061,-0.428162
46,0.763967,-0.064753,1.453960,0.303962,-0.029053,-0.952241
47,0.754292,-0.074858,1.451180,-0.466273,-0.028175,-0.884192
48,0.754260,-0.054872,1.450560,-0.466273,-0.028175,-0.884192
49,1.552050,0.837262,2.842310,-0.478114,-0.384264,-0.789777
50,1.559560,0.831767,2.854230,0.424057,-0.690809,-0.585626
51,1.545980,0.825618,2.851650,-0.478114,-0.384264,-0.789777
52,1.547550,0.838346,2.860670,-0.926287,0.287164,-0.243986
53,-0.849021,0.248904,4.632530,0.214839,-0.683628,-0.697493
54,-0.862768,0.238656,4.638340,0.214839,-0.683628,-0.697493
55,-0.862119,0.253515,4.637880,-0.381704,-0.011940,-0.924207
56,1.447390,0.043154,2.856300,-0.167517,-0.773269,-0.611550
57,1.439190,0.058802,2.858580,-0.793859,0.422473,-0.437384
58,1.443840,0.053128,2.844660,-0.280580,-0.006967,-0.959805
59,1.454960,0.057455,2.854920,0.537605,0.390477,-0.747334
60,1.956420,0.863875,3.050850,-0.712293,-0.147363,-0.686238
61,1.968010,0.868159,3.037900,-0.712293,-0.147363,-0.686238
62,1.964710,0.851978,3.044800,-0.712293,-0.147363,-0.686238
63,2.219930,0.757764,3.442300,-0.536253,0.089380,-0.839311
64,2.229820,0.750482,3.450050,0.181491,-0.590452,-0.786402
65,2.210380,0.748076,3.447370,-0.536253,0.089380,-0.839311
66,2.226530,0.552877,3.351420,-0.669453,-0.012384,-0.742752
67,2.235800,0.544769,3.343200,-0.669453,-0.012384,-0.742752
68,2.236060,0.544080,3.357500,-0.669933,-0.742047,-0.023573
69,2.246390,0.551568,3.351000,0.033704,0.730278,-0.682318
70,-1.662470,-0.043722,4.541790,0.653005,-0.650000,-0.388696
71,-1.666930,-0.039083,4.526540,0.514230,0.129999,-0.847743
72,-1.655850,-0.032568,4.534260,0.514230,0.129999,-0.847743
73,-0.558645,0.441167,4.656480,-0.010986,-0.835933,-0.548722
74,-0.550788,0.447687,4.646390,0.783848,-0.184007,-0.593064
75,-0.544409,0.440632,4.657010,0.783848,-0.184007,-0.593064
76,0.128119,0.439037,4.333990,0.464047,-0.057544,-0.883940
77,0.115067,0.433578,4.340830,0.075913,-0.844922,-0.529476
78,0.112672,0.442888,4.325630,0.464047,-0.057544,-0.883940
79,-2.835400,0.255518,4.484700,0.815547,-0.109895,-0.568161
80,-2.828560,0.230279,4.499400,0.731804,-0.018446,-0.681265
