face_index,centroid_x,centroid_y,centroid_z,normal_x,normal_y,normal_z
0,2.247780,0.253533,3.344063,0.724629,-0.084073,-0.683992
1,0.936250,2.654587,4.689147,0.161302,0.980199,0.114859
2,0.935654,2.649850,4.692147,0.114101,-0.387364,0.914839
3,0.938597,2.649980,4.686903,0.847865,-0.355749,-0.393152
4,0.933954,2.650643,4.687763,-0.852443,-0.198910,-0.483503
5,-1.048413,0.338639,4.628047,-0.247623,-0.933267,0.260185
6,-2.250587,1.348673,4.516723,-0.235438,-0.862217,-0.448499
7,-2.757160,2.616400,4.468380,0.378442,-0.492416,-0.783778
8,-2.060000,2.437430,4.507720,-0.087393,0.733949,-0.673559
9,-2.062133,2.434867,4.511293,-0.673522,-0.735627,0.072251
10,-2.059837,2.437930,4.514333,-0.057499,0.827151,0.559030
11,-2.057310,2.435303,4.511143,0.786665,-0.616780,0.027203
12,1.728360,0.073103,2.885580,-0.359435,0.618782,-0.698509
13,1.548547,0.361137,2.866927,-0.157187,0.774383,0.612881
14,0.446161,-0.059709,1.749930,0.746360,0.509600,0.428083
15,-1.036160,-0.083478,1.471837,-0.676191,-0.032443,-0.736011
16,-1.130423,-0.074357,1.806307,-0.971417,-0.192185,0.139334
17,-2.636817,2.549513,4.476923,-0.246638,0.633331,0.733527
18,-2.632587,2.546550,4.474873,0.986271,-0.160952,0.036925
19,-2.636697,2.548980,4.471393,-0.090679,0.475788,-0.874873
20,-2.637460,2.545027,4.474550,-0.549995,-0.832367,0.068342
21,-1.377913,0.389558,4.595060,0.787303,0.007135,-0.616524
22,-0.854640,0.445130,4.639170,-0.832874,-0.367797,0.413578
23,-0.851758,0.450265,4.638423,-0.027014,0.926435,0.375484
24,-0.852627,0.447278,4.634017,-0.289987,0.023620,-0.956739
25,-0.850097,0.445814,4.637810,0.871659,-0.468047,0.145402
26,1.141460,-0.046135,1.974897,0.023635,-0.666354,0.745260
27,1.722880,2.640043,4.813923,-0.273516,0.871332,0.407394
28,1.444687,0.823098,2.824227,0.107808,0.038930,-0.993409
29,1.441623,0.821039,2.827313,-0.883125,0.049727,0.466496
30,1.446813,0.825124,2.828037,0.067033,0.798038,0.598867
31,1.446417,0.820269,2.827803,0.609756,-0.788634,0.079078
32,2.197700,0.815609,3.457730,0.356590,0.865692,-0.351314
33,2.133673,0.864203,3.065980,-0.165028,-0.985986,-0.024432
34,1.149507,-0.040947,2.157917,0.930499,-0.019434,0.365778
35,1.145223,-0.037715,2.157947,-0.458392,0.820201,0.342268
36,1.144927,-0.043701,2.158383,-0.553834,-0.737740,0.386014
37,1.146703,-0.040885,2.154013,-0.059550,-0.069693,-0.995789
