vertex_index,x,y,z,nx,ny,nz
0,2.244210,0.246384,3.341160,-0.020343,-0.907636,-0.419265
1,2.245530,0.260934,3.340770,0.142233,0.866538,-0.478415
2,2.253600,0.253282,3.350260,0.852481,-0.059102,0.519407
3,0.928663,2.655120,4.695250,-0.745851,0.355328,0.563425
4,0.942593,2.653130,4.692670,0.841689,0.250702,0.478235
5,0.937494,2.655510,4.679520,0.084832,0.391943,-0.916070
6,0.935705,2.641300,4.688520,-0.087746,-0.993447,-0.073236
7,-1.039790,0.336009,4.626820,0.821164,-0.560638,-0.106657
8,-1.050490,0.341293,4.635590,-0.234953,-0.096136,0.967241
9,-1.054960,0.338615,4.621730,-0.663774,-0.360749,-0.655183
10,-2.248310,1.352350,4.508460,0.073050,0.134007,-0.988284
11,-2.244550,1.344920,4.520770,0.576684,-0.772011,0.267272
12,-2.258900,1.348750,4.520940,-0.951891,-0.214344,0.218997
13,-2.760640,2.622830,4.462660,-0.299152,0.476858,-0.826508
14,-2.749550,2.617760,4.471200,0.999384,0.002136,-0.035018
15,-2.761290,2.608610,4.471280,-0.387610,-0.921610,-0.019856
16,-2.052880,2.440930,4.510610,0.851951,0.520172,-0.059995
17,-2.059770,2.431740,4.501490,0.009619,-0.455583,-0.890141
18,-2.067350,2.439620,4.511060,-0.929755,0.368142,-0.005288
19,-2.059280,2.433240,4.521330,0.054986,-0.316634,0.946953
20,1.730920,0.062669,2.875020,0.496008,-0.201749,-0.844555
21,1.718180,0.065496,2.884080,-0.982972,0.138927,0.120274
22,1.735980,0.091143,2.897640,-0.450504,0.830903,0.326568
23,1.556420,0.363706,2.865700,0.868732,0.427814,0.249557
24,1.542460,0.363864,2.861920,-0.864737,0.451629,-0.219683
25,1.546760,0.355841,2.873160,-0.244072,-0.408545,0.879500
26,0.451572,-0.063140,1.744580,0.811551,-0.028719,-0.583576
27,0.442243,-0.052535,1.748220,-0.251178,0.962328,-0.104091
28,0.444667,-0.063452,1.756990,-0.036881,-0.071177,0.996782
29,-1.033550,-0.093487,1.469880,0.041576,-0.936318,-0.348682
30,-1.041120,-0.083398,1.476390,-0.932827,-0.000638,0.360323
31,-1.033810,-0.073549,1.469240,0.017455,0.912843,-0.407937
32,-1.129750,-0.072596,1.813430,-0.342741,0.130628,0.930304
33,-1.132740,-0.066632,1.800810,-0.510017,0.648037,-0.565624
34,-1.128780,-0.083843,1.804680,-0.137534,-0.969772,-0.201562
35,-2.645800,2.550420,4.473120,-0.960456,0.252267,-0.117840
36,-2.633470,2.543130,4.483560,0.210054,-0.439766,0.873203
37,-2.631180,2.554990,4.474090,0.528525,0.848320,-0.031844
38,-2.633110,2.541530,4.466970,0.257155,-0.622966,-0.738772
39,-1.377250,0.407956,4.596120,0.849048,0.486772,-0.205355
40,-1.373580,0.381464,4.600500,0.971416,-0.053414,0.231297
41,-1.382910,0.379255,4.588560,-0.196124,-0.253269,-0.947307
42,-0.853848,0.437692,4.634150,-0.104518,-0.944575,-0.311215
43,-0.851241,0.446654,4.647370,0.151345,-0.065205,0.986328
44,-0.858831,0.451045,4.635990,-0.836784,0.515605,-0.184237
45,-0.845203,0.453096,4.631910,0.691591,0.527163,-0.493762
46,1.141940,-0.052589,1.969110,0.086035,-0.896115,-0.435404
47,1.148510,-0.042246,1.978150,0.864614,0.071531,0.497319
48,1.133930,-0.043568,1.977430,-0.888040,-0.088048,0.451256
49,1.724470,2.644060,4.806400,0.267413,0.748257,-0.607126
50,1.715530,2.637200,4.815070,-0.893463,-0.032127,0.447987
51,1.728640,2.638870,4.820300,0.603135,0.132272,0.786596
52,1.440290,0.828724,2.823970,-0.541418,0.753451,-0.373068
53,1.454670,0.826413,2.825440,0.919448,0.363567,-0.149783
54,1.439100,0.814157,2.823270,-0.526092,-0.774448,-0.351365
55,1.445480,0.820236,2.834700,0.089307,-0.282355,0.955144
56,2.185370,0.822486,3.462160,-0.781640,0.601928,0.163468
57,2.215770,0.810812,3.464250,0.931264,0.054026,0.360316
58,2.191960,0.813530,3.446780,-0.610629,0.224317,-0.759483
59,2.123860,0.865826,3.066780,-0.979310,-0.161881,0.121438
60,2.138590,0.863595,3.057320,0.459500,-0.379931,-0.802815
61,2.138570,0.863189,3.073840,0.447883,-0.410739,0.794163
62,1.151580,-0.032144,2.153110,0.483155,0.788565,-0.380429
63,1.146250,-0.040594,2.166220,0.000046,0.028066,0.999606
64,1.150690,-0.050102,2.154420,0.416344,-0.867974,-0.270701
65,1.137840,-0.040408,2.154510,-0.947740,0.049209,-0.315225
66,2.245280,0.450340,3.352340,0.944444,-0.327854,0.023192
