face_index,centroid_x,centroid_y,centroid_z,normal_x,normal_y,normal_z
0,-3.544537,-12.624800,2.899687,0.998821,0.045791,-0.016087
1,-0.406056,-7.042890,2.680147,0.007805,0.999938,0.007934
2,-4.178207,-12.360200,-0.028865,0.025679,0.044010,-0.998701
3,-6.426117,-11.980167,1.615220,0.999777,0.020498,-0.005001
4,-5.690650,-4.046903,-0.027607,0.033224,0.017714,-0.999291
5,-9.175170,-9.489203,2.929067,-0.227891,0.178999,-0.957092
6,-4.879260,-6.307487,-0.023803,0.182787,-0.026511,-0.982795
7,-6.098377,-4.464640,2.921013,-0.006085,0.015026,-0.999869
8,-5.234840,-4.842063,0.025432,0.125072,0.042552,0.991235
9,-3.625243,-4.984193,0.900174,-0.764394,0.623064,-0.165810
10,-1.712130,-11.151933,2.921050,0.008880,0.002164,-0.999958
11,-6.434157,-12.429533,1.342643,0.994496,0.052469,-0.090687
12,-5.195487,-11.814033,2.920563,0.001466,-0.003414,-0.999993
13,-5.119487,-5.011690,0.028387,-0.036091,0.049633,0.998115
14,-8.670860,-9.927643,0.408131,-0.061828,0.996863,-0.049411
15,-6.431467,-10.943567,1.738863,0.981184,0.111391,-0.157705
16,-5.483130,-6.610913,2.923423,0.056199,-0.002853,-0.998416
17,-2.158540,-7.317980,0.028556,0.001480,0.053232,0.998581
18,-3.544997,-11.104933,2.667577,0.999847,0.008495,-0.015301
19,-7.333210,-9.929353,2.376820,0.090479,0.995480,-0.028868
20,-3.650603,-7.663240,2.921897,-0.025688,-0.019042,-0.999489
21,-2.613607,-10.398700,-0.025358,-0.086174,0.057669,-0.994610
22,-3.542870,-12.889533,1.929220,0.999983,0.001406,-0.005659
23,-3.544543,-12.534600,1.777350,0.997115,-0.018944,-0.073503
24,-3.547433,-12.521467,1.744713,0.990750,-0.020146,-0.134195
25,-1.431760,-9.926873,0.808108,0.012003,0.999918,0.004380
26,-5.414477,-4.565640,2.921957,0.041222,0.007297,-0.999123
27,-6.428380,-11.891633,1.550380,0.997447,0.054042,0.046682
28,-6.225853,-4.494793,-0.027822,0.046211,0.002153,-0.998929
29,-7.087543,-9.927500,2.357037,0.002905,0.999413,0.034126
30,-3.544620,-12.087467,0.541208,0.990861,-0.128539,0.040892
31,-2.238893,-9.974973,2.777713,0.025667,0.998958,-0.037734
32,-8.632370,-9.929797,0.583810,-0.060235,0.997691,-0.031366
33,-8.618223,-9.928993,0.615648,-0.043439,0.998842,0.020665
34,-4.319760,-4.877303,-0.028113,0.005530,0.003991,-0.999977
35,-0.692334,-7.048810,1.836690,-0.035300,0.995611,0.086673
36,-0.668625,-7.047273,1.884297,-0.116017,0.990379,-0.075423
37,-5.654877,-4.071723,-0.027553,0.001110,0.039165,-0.999232
38,-5.641050,-4.010447,0.024898,0.125814,0.057333,0.990396
39,-5.043370,-11.985267,2.961937,0.620737,0.099875,0.777631
40,-5.457830,-4.069300,0.006118,0.899098,0.436332,0.035184
41,-6.425213,-5.431843,0.380860,0.999952,-0.008904,0.004107
42,0.139744,-7.504260,-0.028864,0.014858,0.047964,-0.998739
43,-4.274583,-11.602333,2.920147,-0.003456,-0.001553,-0.999993
44,-0.182800,-9.753587,0.025179,-0.052913,0.065243,0.996466
45,-0.086452,-7.502683,2.924530,-0.064100,0.135069,-0.988761
46,-0.075523,-7.463620,2.924567,-0.124240,-0.066789,-0.990002
47,-6.514083,-4.469000,1.017537,-0.049895,0.358396,0.932235
48,-0.358501,-7.510490,2.920927,-0.007671,-0.010981,-0.999910
49,-0.854706,-9.704527,-0.029166,0.011920,0.005738,-0.999912
50,-0.213009,-9.827740,0.027303,-0.000680,0.012486,0.999922
51,-0.056815,-9.641003,0.026577,-0.135150,0.025616,0.990494
52,-4.307907,-5.697857,-0.027313,0.012333,0.077760,-0.996896
53,-5.696997,-12.745733,0.027117,0.071274,0.104170,0.992002
54,-2.449827,-10.616800,-0.025806,-0.010005,0.104872,-0.994435
55,-3.547387,-12.903133,0.138495,0.992257,-0.037623,-0.118370
56,-2.192970,-10.298033,-0.003127,0.535876,0.844282,0.005090
57,0.055329,-7.578120,2.930337,0.068914,-0.136413,-0.988252
58,0.104077,-7.567517,2.929813,-0.054375,-0.155834,-0.986286
59,-0.703726,-7.347670,2.922063,0.001882,0.038286,-0.999265
60,-2.626257,-8.840737,2.922503,0.044390,-0.009090,-0.998973
61,-2.587333,-8.825770,2.922437,-0.031298,-0.041235,-0.998659
62,-0.133969,-9.638270,-0.028140,-0.002202,0.020003,-0.999797
63,-6.422763,-6.155067,1.006661,0.715572,-0.112768,0.689377
64,-4.713027,-5.688663,-0.026427,0.058313,-0.014240,-0.998197
65,-4.689733,-5.719290,-0.027125,-0.020710,0.083851,-0.996263
66,-1.502413,-11.082633,-0.028443,0.035923,0.008876,-0.999315
67,-8.540420,-9.930417,0.731065,-0.064344,0.996636,0.050769
68,-8.564530,-9.930593,0.760585,0.042748,0.995981,-0.078708
69,-6.427713,-10.829300,1.906443,0.992994,-0.066678,-0.097555
70,-3.487973,-4.010117,0.028644,-0.002242,0.031179,0.999511
71,-6.426827,-5.388337,2.675117,0.999041,-0.041282,0.014608
72,-1.681810,-9.049813,0.024565,-0.243681,0.062355,0.967849
73,-6.530403,-5.274050,2.472047,-0.004108,0.059338,-0.998230
74,-6.182897,-4.995643,2.921763,0.038730,-0.043365,-0.998308
75,-6.468170,-4.459183,1.013710,0.043915,0.413014,0.909665
76,-8.740123,-9.929017,0.536768,-0.074660,0.996639,-0.033718
77,-6.421230,-9.612700,2.394603,0.874799,-0.298624,0.381512
78,-8.177370,-9.929687,2.533873,-0.072371,0.997173,-0.020187
79,-4.562323,-5.002380,2.940277,0.065006,0.659700,-0.748713
80,-6.042530,-7.067690,2.926023,0.221524,-0.060154,-0.973298
