vertex_index,x,y,z,nx,ny,nz
0,-3.543800,-12.624700,2.945710,0.999962,0.002653,0.008354
1,-3.543250,-12.656300,2.889910,0.999671,0.015557,0.020379
2,-3.546560,-12.593400,2.863440,0.999423,0.023156,0.024864
3,-0.453996,-7.042310,2.654210,0.039308,0.999214,0.005117
4,-0.385455,-7.043440,2.729200,0.012256,0.999916,-0.004246
5,-0.378716,-7.042920,2.657030,0.032377,0.998620,-0.041351
6,-4.220750,-12.360100,-0.029954,0.043598,0.021025,-0.998828
7,-4.168010,-12.319000,-0.026787,0.025729,0.016243,-0.999537
8,-4.145860,-12.401500,-0.029853,0.007809,0.039230,-0.999200
9,-6.427030,-11.936800,1.610380,0.998986,0.043764,-0.010590
10,-6.425790,-11.985700,1.657850,0.999589,-0.021784,0.018617
11,-6.425530,-12.018000,1.577430,0.998647,0.002179,-0.051949
12,-5.694850,-4.099160,-0.028673,0.017170,0.028445,-0.999448
13,-5.736830,-4.024090,-0.028738,0.025098,0.056531,-0.998085
14,-5.640270,-4.017460,-0.025410,0.036824,0.022291,-0.999073
15,-9.183970,-9.544020,2.920910,-0.053639,0.061689,-0.996653
16,-9.209790,-9.456480,2.943430,-0.360489,0.800026,-0.479590
17,-9.131750,-9.467110,2.922860,-0.067394,0.330733,-0.941315
18,-4.842340,-6.317650,-0.016662,0.041641,0.073713,-0.996410
19,-4.908770,-6.340090,-0.028412,0.114344,0.098174,-0.988578
20,-4.886670,-6.264720,-0.026335,0.182787,-0.026511,-0.982795
21,-6.104350,-4.506540,2.920420,0.013747,0.000583,-0.999905
22,-6.138720,-4.431960,2.921750,0.014331,0.012582,-0.999818
23,-6.052060,-4.455420,2.920870,-0.002126,0.016845,-0.999856
24,-5.233750,-4.886200,0.027189,0.078805,0.030430,0.996425
25,-5.204540,-4.833250,0.021230,0.129946,0.039805,0.990722
26,-5.266230,-4.806740,0.027876,0.070613,0.020239,0.997298
27,-3.611440,-4.960310,0.926286,-0.058329,0.997649,-0.035975
28,-3.614560,-4.980200,0.865929,0.104616,0.941096,-0.321550
29,-3.649730,-5.012070,0.908307,-0.749668,0.647921,-0.134894
30,-1.654020,-11.173200,2.921520,-0.004043,0.007715,-0.999962
31,-1.742520,-11.175100,2.920730,-0.020640,0.035782,-0.999146
32,-1.739850,-11.107500,2.920900,-0.004788,0.033325,-0.999433
33,-6.433330,-12.467400,1.329800,0.998914,-0.000880,0.046584
34,-6.438060,-12.404400,1.314380,0.998840,0.047342,0.008781
35,-6.431080,-12.416800,1.383750,0.999269,-0.022688,0.030757
36,-5.217060,-11.860400,2.920690,-0.015022,-0.023401,-0.999613
37,-5.224250,-11.763900,2.920350,0.013955,0.012229,-0.999828
38,-5.145150,-11.817800,2.920650,0.039185,0.036979,-0.998548
39,-5.138510,-5.057550,0.029979,0.038863,0.020468,0.999035
40,-5.062790,-4.993460,0.029531,-0.027132,0.038608,0.998886
41,-5.157160,-4.984060,0.025651,-0.017699,0.118421,0.992806
42,-8.625570,-9.926190,0.380780,0.028877,0.998786,0.039912
43,-8.689500,-9.929710,0.389760,-0.008782,0.999884,-0.012453
44,-8.697510,-9.927030,0.453852,0.053495,0.998568,0.001006
45,-6.437930,-10.916300,1.717910,0.999083,-0.024070,-0.035403
46,-6.425450,-10.937800,1.780370,0.997964,0.026843,-0.057859
47,-6.431020,-10.976600,1.718310,0.997257,0.064508,-0.036288
48,-5.540600,-6.579960,2.920100,-0.058493,-0.016943,-0.998144
49,-5.433580,-6.596070,2.926170,-0.006651,-0.002555,-0.999975
50,-5.475210,-6.656710,2.924000,-0.029768,-0.006102,-0.999538
51,-2.108350,-7.336160,0.029451,0.011076,0.034353,0.999348
52,-2.146790,-7.275190,0.026258,0.014140,0.029942,0.999452
